AThomas3,APeriklis1,AThomas1,APeriklis3,CGari2,CGari3,APeter1,ARIchard3,AHarry1,AHarry3,RMarcus3,RSarah3,RMarcus1,APeter3,RSid3,RNicholas3,RSid1,RKM3,RKM1,AJeremy1,AAdam3,AJeremy3,AJeremy2,ABenS3,CJayden3,ABenS1,CJayden1,RSteven3,RRobert3,RJohn3,CGari1,CGeorge1,RJakub1,CJonny2,CDaisy2,CKrish1,CJonny1,CDaisy3,RBen2,RBen3,AAdam1,CTristan3,CRoy1,CTristan1,CRoy3,AMichael1,RRobert2,RNicholas1,RJakub3,CJames1,CJoshua3,CKrish3,AAlex1,AMichael3,AAlex3,RJohn1,ADavid1,ADavid3,ARachel1,RJakub2,ARachel3,CPrakash1,CPrakash3,RSteven1,CGeorge3,ARichard2,RSkyler1,CNathan3,CNathan1,CTristan2,CJoshua1,RSarah2,RAshley2,RSkyler3,AThomas2,CJames3,RAshley3
102.136,85.479,94.7715,78.8571,82.8409,84.6714,100.509,90.693,77.1369,75.9601,88.256,82.9012,71.6164,105.701,87.0256,74.2285,87.1008,91.3876,37.9315,87.5192,92.842,99.3568,89.0489,85.9148,85.7716,86.8538,79.1811,81.4833,90.6301,81.159,77.0756,96.0851,67.9973,88.9762,100.966,84.7253,82.6797,84.7866,73.6897,80.3283,70.453,74.4646,74.1409,73.8314,95.326,89.814,94.0044,91.7146,82.6639,87.1089,87.923,91.1827,80.1349,92.9917,82.6937,79.944,80.2013,83.3755,94.0161,76.4189,101.055,84.7853,93.749,89.5663,96.5899,95.9323,85.4085,103.748,134.692,68.33,73.5332,83.0073,55.6866,94.0543,99.5813,99.3142,73.4861
102.615,82.936,106.759,76.1964,81.0125,85.288,101.561,91.5983,76.5273,77.562,86.9249,81.4135,78.1795,97.6266,90.1989,76.5184,99.4195,89.5085,37.9315,88.6559,91.6505,105.59,91.6754,86.0635,86.925,84.5931,78.5706,79.2103,89.9439,83.6669,79.5293,91.4415,73.6991,90.8348,99.4615,89.2226,78.6359,86.4826,70.6492,81.221,71.0399,69.4863,80.0568,73.7768,93.235,85.0224,88.3148,90.5575,81.4319,80.185,96.0676,90.0806,80.8443,89.9336,80.8627,80.7803,80.6,82.6135,98.439,74.6334,89.9574,91.5977,96.1246,91.2497,101.711,95.9758,85.0811,105.422,131.22,73.0991,74.1472,83.925,69.9459,93.2783,97.1883,94.666,72.9014
102.277,83.5463,105.095,74.3438,83.0774,85.6357,101.541,90.7162,77.4729,77.8212,87.4254,84.7062,80.7937,106.241,86.969,75.9785,100.424,90.2587,37.9315,89.1519,90.2911,98.1711,87.1234,86.5405,84.2298,85.7582,77.1326,81.4346,89.8595,82.3991,77.6658,83.2884,70.725,89.7502,97.9156,86.6421,82.4688,83.8328,73.3225,76.9283,71.62,71.4723,75.1522,75.7001,94.1714,86.9829,94.1958,88.1752,79.964,81.4292,89.3509,92.4488,82.2443,97.4728,81.2547,82.7389,76.9176,82.7386,92.8094,77.8106,98.5249,76.1823,92.6247,91.2405,103.181,94.044,87.458,103.883,102.336,71.6899,81.4396,86.2348,63.6721,93.3455,99.5199,81.7735,71.234
102.8,80.8709,105.809,72.8403,83.9515,85.684,100.575,90.5925,78.4367,81.0019,86.3372,83.3904,77.7373,107.542,87.5216,75.3432,96.6088,92.7152,37.9315,97.7324,94.1812,105.287,93.3118,86.5435,88.0166,82.8496,80.5432,82.8819,91.9988,82.1017,77.9536,98.978,67.1881,92.7345,99.0963,89.5302,81.6937,86.0156,77.2551,79.2276,72.1045,73.2421,74.9017,71.117,92.2973,88.5505,92.7779,89.0688,79.9032,86.152,87.2294,84.8099,79.0851,94.1833,82.6908,80.8698,93.124,78.8069,98.0224,75.58,95.8495,74.012,89.3459,85.5496,104.43,89.3593,84.1064,102.193,107.046,70.1838,76.7046,87.1667,68.5899,92.9032,98.4992,100.543,78.467
104.075,82.8376,103.14,69.6583,83.3004,87.2637,101.026,90.8728,79.6643,82.2361,86.7997,83.9194,79.7321,104.996,90.2051,76.8144,95.3701,91.0959,37.9315,95.8985,91.816,99.4581,89.303,85.4763,90.2346,85.0449,78.1526,85.2536,90.3296,81.6608,73.3537,110.501,71.2116,89.4611,98.3206,90.4995,80.0235,85.2235,73.0985,82.9641,71.7735,73.3078,75.9621,76.1869,93.6414,90.2884,98.2781,91.506,79.0442,80.3194,98.5322,85.4311,82.1649,101.481,82.6951,82.8111,80.4105,82.3478,95.9864,76.2155,92.1636,70.8543,91.7874,89.8536,99.857,97.6289,89.3926,103.351,113.505,68.0963,78.1391,82.7273,70.8987,91.8665,80.0201,98.4662,85.2676
102.108,79.1781,104.582,74.775,82.5113,86.2653,100.963,89.6486,77.7656,88.938,83.7208,82.9062,82.27,105.703,89.9254,79.7753,95.5025,92.0583,83.9459,89.6228,91.9348,101.336,87.5852,86.5045,90.228,84.2594,79.3053,84.8927,91.7484,82.9046,75.652,101.874,69.762,88.494,100.594,91.2301,80.854,83.9264,73.5825,80.6023,70.9399,77.6253,77.3331,74.5111,90.8238,84.3306,95.3281,90.8426,79.5971,81.7871,85.4588,93.1499,78.1846,97.3653,81.0403,79.8072,79.2151,80.6235,96.0722,78.9479,88.7369,105.005,86.7913,91.5039,98.7484,98.527,83.9677,106.68,105.071,74.6883,69.866,84.4493,67.3901,91.3463,85.0048,97.6962,75.7115
102.773,82.7536,97.1515,84.9382,83.2644,82.6075,100.9,91.6341,79.3445,90.6197,83.8921,83.4223,78.6334,106.479,83.8985,78.1659,95.5487,90.6035,109.588,95.8652,91.3326,100.84,87.5609,87.9739,84.9332,83.6938,79.4989,86.5002,90.3666,88.4332,78.4451,96.974,69.9443,89.1617,99.9252,76.0215,79.6348,84.8592,71.5914,80.9569,70.0476,83.275,78.1674,63.7184,91.9863,88.6083,92.8982,88.7159,76.858,78.1354,79.1233,97.2709,79.4504,94.1763,83.3505,85.9272,81.7431,80.5783,92.6028,79.3373,95.8082,100.061,85.0909,91.4738,105.204,94.9044,82.7024,103.533,104.556,72.7073,80.324,85.1254,69.4962,92.367,84.9869,96.7865,90.4922
101.878,83.9846,98.8114,84.115,79.9668,82.4504,98.0897,90.0815,78.4833,79.9892,84.9094,85.879,77.2415,105.208,88.3715,69.2916,94.17,92.1703,109.588,84.71,91.2073,101.713,92.8078,88.9998,87.4295,85.7169,79.77,82.7306,89.4164,88.6547,76.8301,85.5038,70.2729,91.1601,97.7806,90.5431,78.4329,85.4392,76.7998,82.3472,71.585,84.4082,71.0092,70.3306,92.5039,87.2963,91.287,85.5263,79.745,84.0317,94.7531,91.955,77.7744,97.0714,84.2612,79.1628,82.5904,81.3764,92.3287,78.5412,102.322,93.3293,88.595,90.864,102.119,95.1286,83.3118,105.435,105.021,75.7209,77.5305,85.363,66.883,91.8877,90.8331,97.9757,95.1072
106.204,91.0286,95.7874,80.1705,78.7005,84.629,99.6235,89.7298,77.3097,81.9031,85.9015,81.9642,75.8602,102.814,87.9709,82.4648,95.6281,89.062,109.588,87.9273,87.7338,98.6243,87.8297,87.0439,85.6577,83.8055,77.4072,85.066,89.7796,83.755,80.3899,90.6152,70.9294,90.9632,99.0458,84.3063,82.0012,85.5894,69.895,83.4462,69.4694,80.0942,78.6183,76.244,92.4501,94.3817,92.4619,82.9487,79.5315,80.2269,100.282,89.2478,79.4809,98.1064,82.0733,78.7743,83.3029,80.7284,100.69,75.7862,96.67,99.6263,68.3988,88.4834,87.0978,96.152,84.2081,63.6397,106.309,75.9639,79.9235,87.7615,60.6199,91.9167,96.9819,98.1482,81.1558
103.195,88.3904,96.9186,76.9585,78.5251,82.3208,100.069,91.1224,77.0975,81.1486,86.7635,81.4755,78.0976,102.13,88.566,81.8307,95.7468,93.9804,109.588,87.6175,90.7239,100.993,85.2572,86.5786,91.8805,84.4598,76.5778,84.8272,96.1624,81.2578,78.8784,92.1975,69.238,91.3777,97.9164,82.9518,81.6927,83.6896,75.2913,79.6317,71.0864,81.7418,77.9845,72.6575,90.4049,91.7133,93.4758,86.3183,81.5747,85.4854,92.3574,87.5016,78.6874,95.962,81.6209,80.5404,77.9836,79.0539,100.698,77.3303,99.4395,100.858,84.463,90.4668,115.106,91.9496,84.2143,65.1247,105.229,70.931,85.7426,85.6997,62.9742,91.3824,95.4306,92.147,84.1842
